uniqueID,title,Longitude,Latitude,clinicAddressLine1,clinicAddressLine2,suburb,state,postcode,locationInstructions,driveThroughTesting,wheelchairAccessible,walkInAllowed,bookingRequired,bookingLink,bookingPhoneNumber,ageLimit,referralRequired,mondayOpeningHours,mondayBreakStartTime,mondayBreakEndTime,mondayClosingHours,tuesdayOpeningHours,tuesdayBreakStartTime,tuesdayBreakEndTime,tuesdayClosingHours,wednesdayOpeningHours,wednesdayBreakStartTime,wednesdayBreakEndTime,wednesdayClosingHours,thursdayOpeningHours,thursdayBreakStartTime,thursdayBreakEndTime,thursdayClosingHours,fridayOpeningHours,fridayBreakStartTime,fridayBreakEndTime,fridayClosingHours,saturdayOpeningHours,saturdayBreakStartTime,saturdayBreakEndTime,saturdayClosingHours,sundayOpeningHours,sundayBreakStartTime,sundayBreakEndTime,sundayClosingHours,specialInstructions,resultsInstructions,closureInstructions,ageRestrictionInstructions,bookingInstructions,otherInstructions,providerWebsite,lastUpdated
CID00220,Hurstville 4Cyte Pathology Walk-in Clinic,151.103134,-33.968307,,8 Ormonde Parade,Hurstville,NSW,2220,,N,Y,Y,N,,,,N,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,,13 42 98,,,,,https://www.4cyte.com.au/,2023-01-23 8:31 am
CID00228,Ivanhoe Walk-in Clinic,144.295394569482,-32.8941991889242,Ivanhoe Health Service,90 Columbus Street,Ivanhoe,NSW,2878,,N,Y,N,Y,,02 6990 2800,,N,8:30 AM,,,4:30 PM,8:30 AM,,,4:30 PM,8:30 AM,,,4:30 PM,8:30 AM,,,4:30 PM,8:30 AM,,,4:30 PM,,,,,,,,,,,,,,Closed on public holidays.,,2023-01-18 9:45 am
CID00237,Killara Histopath Pathology Walk-in Clinic,151.164548,-33.767487,"Dalcross Private Hospital Compound, Killara",26 Stanhope Road,Killara,NSW,2071,"NO PARKING in the premises, WALK-In only.",N,Y,Y,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-12 9:00 am
CID00247,Kyabram District Health Service Drive-through Clinic,145.0420678,-36.3151365,Kyabram District Health Service,88 Fenaughty Street,Kyabram,VIC,3619,Testing at the back of the Health Service. Enter via Pettifer Road.,Y,Y,N,N,,,,N,9:00 AM,,,11:00 AM,,,,,9:00 AM,,,11:00 AM,,,,,9:00 AM,,,11:00 AM,,,,,,,,,,,,,,Closed on public holidays.,https://www.hotdoc.com.au/medical-centres/sydney-NSW-1001/darlinghurst-respiratory-clinic/doctors,2023-01-18 9:45 am
CID00250,Lakemba Respiratory Clinic,151.0774665,-33.9211832,,96 Haldon Street,Lakemba,NSW,2195,Enter via Oneata Lane.,N,N,Y,N,https://www.hotdoc.com.au/medical-centres/lakemba-NSW-2195/lakemba-respiratory-clinic/doctors?purpose=respiratory,,,N,9:00 AM,,,6:00 PM,9:00 AM,,,6:00 PM,9:00 AM,,,6:00 PM,9:00 AM,,,6:00 PM,9:00 AM,,,6:00 PM,9:00 AM,,,6:00 PM,9:00 AM,,,6:00 PM,,,,,"For enquiries, please call 0420 253 456.",,,2023-04-21 10:15 am
CID00253,Lidcombe Histopath Pathology Drive-through and Walk-in Clinic,151.050842233133,-33.8847930366345,The Sydney University Cumberland Campus,Weeroona Road,Lidcombe,NSW,2141,The Sydney University Cumberland Campus. Enter via Gate 3.,Y,Y,Y,N,,,,N,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,,,,,,,https://www.histopath.com.au/,2023-04-26 10:30 am
CID00261,Liverpool 4Cyte Pathology Walk-in Clinic,150.911607,-33.916223,,169 Elizabeth Drive,Liverpool,NSW,2170,,N,N,Y,N,,,,N,8:00 AM,,,5:00 PM,8:00 AM,,,5:00 PM,8:00 AM,,,5:00 PM,8:00 AM,,,5:00 PM,8:00 AM,,,5:00 PM,8:00 AM,,,5:00 PM,,,,,,13 42 98,,,,,https://www.4cyte.com.au/,2023-03-13 3:15 pm
CID00262,Liverpool Clinical Labs Pathology Drive-through Clinic,150.925499,-33.925853,Rear Car Park,2-4 Speed Street,Liverpool,NSW,2170,Enter via Liverpool City Council car park,Y,Y,N,N,,,,N,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,3:00 PM,9:00 AM,,,3:00 PM,,1300 134 111,,,,,https://www.clinicallabs.com.au/about-us/doctor-media-releases/novel-coronavirus-nsw/,2023-04-04 2:45 pm
CID00269,Macquarie Park Douglass Hanly Moir Pathology Drive-through Clinic,151.122811,-33.785228,,95 Epping Road,Macquarie Park,NSW,2113,,Y,Y,N,N,,,,N,7:30 AM,,,3:30 PM,7:30 AM,,,3:30 PM,7:30 AM,,,3:30 PM,7:30 AM,,,3:30 PM,7:30 AM,,,3:30 PM,7:30 AM,,,3:30 PM,7:30 AM,,,3:30 PM,,(02) 9855 6116,,,,,https://www.dhm.com.au/,2023-04-14 4:45 pm
CID00272,Maroubra / Heffron Park Histopath Pathology Drive-through Clinic,151.23181574431086,-33.94964625407855,Heffron Park Car Park,Corner of Fitzgerald Avenue and Bunnerong Road,Maroubra,NSW,2035,Enter via Fitzgerald Avenue.,Y,Y,N,N,,,,N,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,,,,,,,,,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:45 am
CID00279,Menindee Walk-in Clinic,142.41499393967325,-32.390146382880644,Menindee Health Service,Perry Street,Menindee,NSW,2879,,N,Y,Y,N,,,,N,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,,,,,,,,,,,,,Phone 08 8083 2700 prior to arrival.,Closed on public holidays.,,2023-01-18 10:00 am
CID00280,Merriwa Multi-Purpose Service Clinic,150.361118823777,-32.1417153349759,,46 Mackenzie Street,Merriwa,NSW,2329,,N,N,Y,Y,,65325000,,N,1:45 PM,,,2:45 PM,1:45 PM,,,2:45 PM,1:45 PM,,,2:45 PM,1:45 PM,,,2:45 PM,,,,,,,,,,,,,,,,,,,,2023-01-03 10:30 am
CID00285,Minchinbury Histopath Pathology Drive-through Clinic,150.828389,-33.78089,,Great Western Highway,Minchinbury,NSW,2770,,Y,Y,N,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:45 am
CID00288,Miranda Medical Centre,151.10199,-34.033695,,573 Kingsway,Miranda,NSW,2228,Enter from Penprase Lane and follow signage.,N,N,N,Y,,(02) 9540 1044,,N,8:00 AM,,,12:00 PM,8:00 AM,,,12:00 PM,8:00 AM,,,12:00 PM,8:00 AM,,,12:00 PM,8:00 AM,,,12:00 PM,8:00 AM,,,12:00 PM,8:00 AM,,,12:00 PM,,,,,,,,2023-02-05 8:00 pm
CID00289,Mittagong Respiratory Clinic,150.4430588,-34.4523287,,58 Bowral Road,Mittagong,NSW,2575,In the lower level of Mittagong Health Care Centre.,N,N,Y,Y,https://www.hotdoc.com.au/medical-centres/mittagong-NSW-2575/mittagong-respiratory-clinic/doctors?purpose=respiratory,,,N,8:00 AM,,,5:00 PM,8:00 AM,,,5:00 PM,8:00 AM,,,5:00 PM,8:00 AM,,,5:00 PM,8:00 AM,,,5:00 PM,8:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,,,,,,,,2023-01-03 12:00 pm
CID00290,Molong Multi-Purpose Health Service Clinic,148.859538098009,-33.0861132737222,,King Street,Molong,NSW,2866,,N,Y,Y,Y,,(02) 6369 4100,,N,,,,,10:00 AM,,,11:00 AM,,,,,10:00 AM,,,11:00 AM,,,,,,,,,,,,,,,,,"Bookings can be made by calling the MPS 8.30am to 5pm, Monday to Friday.",,,2022-12-20 11:30 am
CID00291,Mona Vale Hospital Clinic,151.30727769333032,-33.68602706153368,"Gate 3, Building 1A, Mona Vale Hospital",18 Coronation Street,Mona Vale,NSW,2103,Street parking.,N,Y,Y,N,,,6 months+,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,,,"Children under the age 6 Months will not be tested at this clinic.
Children should attend their nearest Emergency Department or local GP so a full medical assessment can be undertaken.",,,,2023-02-13 3:06 pm
CID00295,Morisset 4Cyte Pathology Drive-through Clinic,151.4788513,-33.107372074383235,Morisset Showground,40 Ourimbah Street,Morisset,NSW,2264,Enter Showgrounds and drive through the Pavillion.,Y,Y,N,N,,,,N,7:30 AM,,,3:30 PM,7:30 AM,,,3:30 PM,7:30 AM,,,3:30 PM,7:30 AM,,,3:30 PM,7:30 AM,,,3:30 PM,,,,,,,,,,13 42 98,,,,,https://www.4cyte.com.au/,2023-04-24 9:00 am
CID00311,Nambucca Respiratory Clinic,152.987919,-30.65453557736035,Nambucca Plaza,2191 Giinagay Way,Nambucca Heads,NSW,2488,,Y,N,N,Y,https://www.hotdoc.com.au/medical-centres/nambucca-heads-NSW-2448/nambucca-healthcare-centre/doctors?purpose=respiratory,,,N,9:00 AM,,,12:00 PM,9:00 AM,,,12:00 PM,9:00 AM,,,12:00 PM,9:00 AM,,,12:00 PM,9:00 AM,,,12:00 PM,,,,,,,,,,,,,,Closed on public holidays.,,2023-01-18 10:00 am
CID00318,Nathalia Hospital Clinic,145.197562168607,-36.0572537271142,,36-44 McDonell Street,Nathalia,VIC,3638,,N,N,N,Y,,(03) 5866 9444,,N,11:00 AM,,,12:00 PM,11:00 AM,,,12:00 PM,11:00 AM,,,12:00 PM,11:00 AM,,,12:00 PM,11:00 AM,,,12:00 PM,,,,,,,,,,,,,,,,2021-11-26 4:34 pm
CID00325,Northeast Health Wangaratta Drive-through,146.305340768618,-36.3629980800358,,53-61 Tone Road,Wangaratta,VIC,3677,Enter via Vincent Road.,Y,Y,N,Y,https://www.northeasthealth.org.au/covid-19/,,5+,N,8:30 AM,,,3:30 PM,8:30 AM,,,3:30 PM,8:30 AM,,,3:30 PM,8:30 AM,,,3:30 PM,8:30 AM,,,3:30 PM,8:30 AM,,,3:30 PM,8:30 AM,,,3:30 PM,,,,Children under the age 5 years will not be tested at this clinic.,,,,2021-12-21 11:15 am
CID00326,Frenchs Forest Clinical Labs Pathology Drive-through Clinic,151.233019,-33.751134,Northern Beaches Hospital,105 Frenchs Forest Road (West),Frenchs Forest,NSW,2086,Rear of Emergency Department,Y,Y,N,N,,,,N,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,,1300 134 111,,,"For general enquiries, please select option 5 when calling the results line.",,https://www.clinicallabs.com.au/,2023-03-23 4:15 pm
CID00328,Nowra Southern.IML Pathology Drive-through Clinic,150.599965,-34.873694,,57 Junction Street,Nowra,NSW,2540,,Y,Y,N,N,,,,N,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,12:00 PM,,,,,,1300 652 200,,,,Closed on public holidays.,https://www.clinicallabs.com.au/about-us/doctor-media-releases/novel-coronavirus-nsw/,2023-04-18 4:00 pm
CID00329,Numurkah Hospital,145.443580755116,-36.0993192735002,,2 Katamatite-Nathalia Road,Numurkah,VIC,3636,,N,N,N,Y,,,,N,9:00 AM,,,10:00 AM,9:00 AM,,,10:00 AM,9:00 AM,,,10:00 AM,9:00 AM,,,10:00 AM,9:00 AM,,,10:00 AM,,,,,,,,,,,,,,,,2021-11-26 4:34 pm
CID00331,Oatlands 4Cyte Pathology Drive-through Clinic,151.030409,-33.803187,Dundas Seventh-Day Adventist Church,40 Kissing Point Road,Oatlands,NSW,2117,,Y,Y,N,N,,,,N,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,,,,,8:00 AM,,,6:00 PM,,13 42 98,,,,,https://www.4cyte.com.au/,2023-04-24 12:01 pm
CID00334,Ochre Health - Boggabri Respiratory Clinic,150.054292,-30.7212293,Boggabri Golf Club,Kamilaroi Highway,Boggabri,NSW,2382,,N,N,N,Y,https://www.hotdoc.com.au/medical-centres/boggabri-NSW-2382/gunnedah-boggabri-and-narrabri-respiratory-clinic/doctors?purpose=respiratory,,,N,,,,,,,,,,,,,,,,,9:00 AM,,,1:00 PM,,,,,,,,,,,,,"Please note if this clinic is unavailable on a particular day, you can book at another Ochre Health clinic.",Closed on public holidays.,,2023-01-18 10:00 am
CID00343,Parkes Health Service,148.17065392132122,-33.15205266774547,Parkes Hospital,2 Morrissey Way,Parkes,NSW,2870,,N,Y,Y,N,,,,N,1:00 PM,,,2:00 PM,1:00 PM,,,2:00 PM,1:00 PM,,,2:00 PM,1:00 PM,,,2:00 PM,1:00 PM,,,2:00 PM,,,,,,,,,,,,,,,,2023-01-20 1:00 pm
CID00346,Parramatta Clinical Labs Pathology Drive-through Clinic,151.021490958763,-33.807869204622,University of Western Sydney North Campus,70 Pemberton Street,Parramatta,NSW,2150,,Y,Y,N,N,,,,N,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,,1300 134 111,,,,,https://www.clinicallabs.com.au/about-us/doctor-media-releases/novel-coronavirus-nsw/,2023-03-23 4:15 pm
CID00354,Penrith Clinical Labs Pathology Walk-in Clinic,150.696029697585,-33.752842273738,,489 High Street,Penrith,NSW,2750,,N,N,Y,N,,,,N,9:00 AM,,,3:30 PM,9:00 AM,,,3:30 PM,9:00 AM,,,3:30 PM,9:00 AM,,,3:30 PM,9:00 AM,,,3:30 PM,,,,,,,,,,(02) 8745 6500,,,,,https://www.clinicallabs.com.au/,2023-03-23 4:15 pm
CID00356,Picton Respiratory Clinic,150.613686042888,-34.1688377768772,,9 Margaret Street,Picton,NSW,2571,Park as close to the Purple Flag as possible. Remain in your car with your mask on. Call 1300 545 245 to advise you have arrived.,Y,Y,Y,Y,,1300 545 245,,N,9:00 AM,12:30 PM,1:30 PM,5:30 PM,9:00 AM,12:30 PM,1:30 PM,5:30 PM,9:00 AM,12:30 PM,1:30 PM,5:30 PM,9:00 AM,12:30 PM,1:30 PM,5:30 PM,9:00 AM,12:30 PM,1:30 PM,5:30 PM,9:00 AM,,,12:30 PM,,,,,,,,,,,,2023-01-03 10:30 am
CID00360,Prestons 4Cyte Pathology Drive-through and Walk-in Clinic,150.874204,-33.951824,Ash Road Sporting Complex,Ash Road,Prestons,NSW,2170,,Y,Y,Y,N,,,,N,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,,,,,,,,,,,,,,,https://www.4cyte.com.au/,2023-04-24 12:01 pm
CID00363,Quakers Hill Clinical Labs Drive-through Clinic,150.881433,-33.736553,Melrose Park,6 Melrose Avenue,Quakers Hill,NSW,2763,,Y,Y,N,N,,,,N,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,,,,,,,https://www.clinicallabs.com.au/,2023-03-23 4:15 pm
CID00364,Quakers Hill Histopath Pathology Drive-through Clinic,150.875264684652,-33.7266922262078,"Western Sydney University Quakers Hill Campus, Carpark 8",Warawara Circuit,Quakers Hill NSW,NSW,2763,,Y,Y,N,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:45 am
CID00367,Queanbeyan East Histopath Pathology Drive-through Clinic,149.241934078137,-35.3452143517583,Seiffert Oval,36 Thurralilly Street,Queanbeyan East,NSW,2620,,Y,Y,N,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:45 am
CID00374,Raymond Terrace Histopath Pathology Drive-through Clinic,151.78305338465924,-32.758726469634226,Lakeside Leisure Way Centre,4 Leisure Way,Raymond Terrace,NSW,2324,Site located at the Lakeside Leisure Way Centre Carpark,Y,Y,N,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-26 10:30 am
CID00379,Richmond Histopath Pathology Drive-through Clinic,150.746772667372,-33.614419741272,Western Sydney University Hawkesbury Campus Car Park,47 off Vines Drive,Richmond,NSW,2753,,Y,Y,N,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,(02) 9878 8111,,,,,https://www.histopath.com.au/,2023-04-18 9:45 am
CID00381,Riverwood Clinical Labs Pathology Walk-In Clinic,151.046192480235,-33.9497916649999,Riverwood Park,79 Coleridge Street,Riverwood,NSW,2210,,N,Y,Y,N,,,,N,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,9:00 AM,,,4:00 PM,,(02) 8745 6500,,,,,https://www.clinicallabs.com.au/,2023-04-04 2:46 pm
CID00382,Robinvale District Health Service Hospital Car Park,142.780866285425,-34.5841158887042,,128-132 Latje Road,Robinvale,VIC,3549,,Y,Y,N,Y,,(03) 5051 8111,,N,9:00 AM,,,4:30 PM,9:00 AM,,,4:30 PM,9:00 AM,,,4:30 PM,9:00 AM,,,4:30 PM,9:00 AM,,,4:30 PM,9:00 AM,,,4:30 PM,9:00 AM,,,4:30 PM,,,,,,,,2021-12-21 9:45 am
CID00383,Rockdale 4Cyte Pathology Drive-through and Walk-in Clinic,151.138116584353,-33.9557800317061,,594-596 Princes Highway,Rockdale,NSW,2216,,Y,Y,Y,N,,,,N,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,,13 42 98,,,,Closed on public holidays.,https://www.4cyte.com.au/,2023-04-24 12:01 pm
CID00385,Rosebery 4Cyte Pathology Walk-in Clinic,151.200160666997,-33.9172624015633,Shop 2,781 Hayes Road,Rosebery,NSW,2108,,N,Y,Y,N,,,,N,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,,13 42 98,,,,Closed on public holidays.,https://www.4cyte.com.au/,2023-04-24 12:01 pm
CID00387,Northshore Roseville Respiratory Clinic,151.1757788,-33.784101,,132A Pacific Highway,Roseville,NSW,2069,"In a white marque on the left-hand side of the main medical centre, Rosecentre. Pedestrian access is down the left side walkway. Parking is available along the Pacific Highway.",N,Y,Y,Y,https://www.hotdoc.com.au/medical-centres/roseville-NSW-2069/roseville-respiratory-clinic/doctors?purpose=respiratory,0458 604 096,,N,7:30 AM,,,6:00 PM,7:30 AM,,,6:00 PM,7:30 AM,,,6:00 PM,7:30 AM,,,6:00 PM,7:30 AM,,,6:00 PM,7:30 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,,,,"To book, call or text name and preferred time to 0458 604 096.",,http://www.rosecentre.com.au/north-shore-respiratory-clinic-roseville/,2023-01-03 12:00 pm
CID00388,Rouse Hill Histopath Pathology Drive-through and Walk-in Clinic,150.90941529088,-33.6823822294103,,32 Worcester Road,Rouse Hill,NSW,2155,,Y,Y,Y,N,,,,N,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,8:00 AM,,,6:00 PM,,,,,,,https://www.histopath.com.au/,2023-04-18 9:46 am
CID00389,Royal North Shore Hospital Clinic,151.193083914011,-33.8202359887029,"Royal North Shore COVID-19 Screening Clinic, Building 22",Herbert Street,St Leonards,NSW,2065,,N,Y,Y,N,,,6 months+,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,,,Children under the age 6 Months will not be tested at this clinic.,,,,2023-02-13 3:07 pm
CID00394,Rylstone Multi-Purpose Health Service Clinic,149.975586155674,-32.8042185808735,,Fitzgerald Street,Rylstone,NSW,2849,,N,Y,Y,Y,,02 6357 6100,,N,10:00 AM,,,11:00 AM,10:00 AM,,,11:00 AM,10:00 AM,,,11:00 AM,10:00 AM,,,11:00 AM,10:00 AM,,,11:00 AM,,,,,,,,,,,,,Booking required call to make an appointment.,Closed on public holidays.,,2023-01-18 10:00 am
CID00400,Shepparton Health Acute Respiratory Clinic,145.397084510947,-36.3826835425347,,172 Welsford Street,Shepparton,VIC,3630,,N,N,Y,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,,,,,,,2022-01-02 3:48 pm
CID00401,Shepparton Showgrounds Goulburn Valley Health Drive-Through clinic,145.411352297454,-36.3816241552635,Shepparton Showgrounds,High Street Shepparton,Shepparton,VIC,3630,,Y,Y,Y,Y,https://www.hotdoc.com.au/medical-centres/shepparton-VIC-3630/shepparton-respiratory-clinic/doctors?purpose=respiratory,,,N,8:45 AM,,,4:45 PM,8:45 AM,,,4:45 PM,8:45 AM,,,4:45 PM,8:45 AM,,,4:45 PM,8:45 AM,,,4:45 PM,8:45 AM,,,4:45 PM,8:45 AM,,,4:45 PM,,,,,,,,2022-01-04 11:32 am
CID00410,South Tweed Heads 4Cyte Pathology Drive-through and Walk-in Clinic,153.5419477,-28.2053942,,157-161 Minjungbal Drive (Corner of Minjungbal Drive and Rivendell Drive),South Tweed Heads,NSW,2485,,Y,Y,Y,N,,,,N,7:00 AM,,,5:00 PM,7:00 AM,,,5:00 PM,7:00 AM,,,5:00 PM,7:00 AM,,,5:00 PM,7:00 AM,,,5:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,13 42 98,,,,,https://www.4cyte.com.au/,2023-04-24 12:01 pm
CID00418,Stanhope Gardens Clinical Labs Pathology Drive-through Clinic,150.923008271515,-33.717919885622,Blacktown Leisure Centre,Stanhope Parkway,Stanhope Gardens,NSW,2768,,Y,Y,N,N,,,,N,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,9:00 AM,,,5:00 PM,,,,,,,https://www.clinicallabs.com.au/,2023-03-23 4:15 pm
CID00419,Stanmore 4Cyte Pathology Drive-through and Walk-in Clinic,151.168556,-33.898705,Cyprus Community of NSW,58/76 Stanmore Road,Stanmore,NSW,2048,,Y,Y,Y,N,,,,N,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,7:00 AM,,,4:00 PM,,13 42 98,,,,,https://www.4cyte.com.au/,2023-04-24 12:01 pm
CID00427,4Cyte Pathology Sydney,151.212078618761,-33.8671220871843,,4/195 Macquarie Street,Sydney,NSW,2000,,N,Y,Y,N,,,,N,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,8:00 AM,,,4:00 PM,,,,,,,,,,13 42 98,,,,,https://www.4cyte.com.au/,2023-04-04 2:45 pm
CID00428,Sydney 4Cyte Pathology Walk-in Clinic,151.203672562157,-33.8825631652795,,803-813 George Street,Sydney,NSW,2000,Opposite Central Railway Station.,N,Y,Y,N,,,,N,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,7:00 AM,,,8:00 PM,,13 42 98,,,,,https://www.4cyte.com.au/,2023-01-23 8:45 am
CID00431,Tahmoor Clinical Labs Pathology Drive-through Clinic,150.591545,-34.226734,,158 Remembrance Driveway,Tahmoor,NSW,2573,,Y,Y,N,N,,,,N,11:00 AM,,,1:00 PM,11:00 AM,,,1:00 PM,11:00 AM,,,1:00 PM,11:00 AM,,,1:00 PM,11:00 AM,,,1:00 PM,,,,,,,,,,(02) 8745 6500,,,,,https://www.clinicallabs.com.au/,2023-04-04 2:46 pm
CID00432,Tamworth Douglass Hanly Moir Pathology Walk-In Clinic,150.926182,-31.087141,Suite 3,199 Peel Street,Tamworth,NSW,2340,,N,N,Y,N,,,,N,8:30 AM,,,4:00 PM,8:30 AM,,,4:00 PM,8:30 AM,,,4:00 PM,8:30 AM,,,4:00 PM,8:30 AM,,,4:00 PM,8:30 AM,,,10:30 AM,,,,,,(02) 9855 6116,,All Ages. ,No Bookings required,,https://www.dhm.com.au/,2023-04-14 4:45 pm
CID00435,Tamworth Respiratory Clinic,150.9228782,-31.1124398,,255a Goonooo Goonoo Road,Tamworth,NSW,2340,Enter the car park via Edgeroy Street and present to the front door at your appointment time.,N,Y,Y,Y,https://www.hotdoc.com.au/medical-centres/tamworth-NSW-2340/tamworth-respiratory-clinic/doctors?purpose=respiratory,(02) 6768 3288,,N,8:30 AM,,,5:00 PM,8:30 AM,,,5:00 PM,8:30 AM,,,5:00 PM,8:30 AM,,,5:00 PM,8:30 AM,,,5:00 PM,9:00 AM,,,3:30 PM,9:00 AM,,,3:30 PM,,,,,,,,2023-01-03 12:00 pm
